cellName,snr,mad,eventRate,eventAmpMedian,eventAmpSD,riseMedian,riseSD,decayMedian,decaySD
neuron_1,18.34819,1.184211,0.02800245,31.04017,10.55523,0.3497361,1.148644,0.769419,2.694293
neuron_2,7.75978,1.63401,0.01516802,18.11362,26.89813,0.1398943,0.1539818,1.119153,2.250472
neuron_3,25.04817,1.365728,0.01050091,48.87001,26.95539,0.2797893,1.753185,1.398943,0.3330159
neuron_4,13.37441,0.984123,0.02450217,18.80298,13.92895,0.2098418,0.1651027,0.6295254,0.756595
neuron_5,12.33365,0.833462,0.03150273,14.68516,11.62147,0.2098418,0.5323619,0.6994729,0.937377
neuron_6,7.48097,0.965139,0.01516802,10.31457,14.90251,0.2098418,0.11312,0.5595779,0.2544269
neuron_7,11.31739,0.5863683,0.01400119,9.48024,17.85105,0.1748684,0.6681703,0.594552,0.2221121
neuron_8,16.72566,1.228423,0.01400119,29.3517,12.66104,0.2797893,0.885465,0.944286,0.5503953
neuron_9,18.47405,0.755986,0.01400119,19.95161,20.24484,0.1398943,0.4335415,0.5595779,0.2098418
neuron_10,11.64436,1.118824,0.02216858,18.61139,18.87438,0.2098418,0.537754,0.83937,1.634591
