cellName,snr,mad,eventRate,eventAmpMedian,eventAmpSD,riseMedian,riseSD,decayMedian,decaySD
neuron_1,9.41872,1.106912,0.00800072,13.03216,20.41776,0.1199096,0.0893752,0.679488,3.377944
neuron_2,11.76776,1.652704,0.0320028,24.3108,11.51904,0.3197592,1.426184,0.839368,0.5694832
neuron_3,12.90408,1.389992,0.01200104,22.42072,50.56144,0.2398192,0.89216,1.438912,1.996184
neuron_4,12.21024,1.87156,0.02533552,28.5652,15.61056,0.3996984,0.4548032,1.039216,2.298656
neuron_5,10.37456,1.791712,0.01866832,23.2352,7.566872,0.1598792,0.05233288,0.7993976,0.5202664
neuron_6,9.8024,2.623416,0.01600136,32.1448,16.5672,0.3996984,0.1242712,1.039216,0.2826296
neuron_7,21.93472,1.75976,0.02400208,48.24992,16.33912,0.3597288,0.348704,0.999248,0.805704
neuron_8,15.5488,2.300888,0.03600312,44.72,15.86656,0.3197592,0.1713136,1.039216,0.4257896
neuron_9,15.13984,0.917192,0.01600136,17.3576,22.71856,0.1598792,0.1441136,0.7993976,0.1802344
neuron_10,12.8368,1.062544,0.02666896,17.0496,14.92672,0.1598792,0.160876,0.679488,0.845816
